nome,tipologia,tel,email,web,link1,link2,tipoticket,datamodifica,abstract,descrizione,comune,codice_istat,provincia,datainizio,datafine,foto_con_autore
OPERA STRACCI     Koreja,semplice,0832 242000,info@teatrokoreja.it,http://www.teatrokoreja.it/koreja/home.php,https://www.facebook.com/cantieriteatralikoreja?fref=ts,,pagamento,26-OTT-15,Uno  spazio scenico simile ad un ring ricoperto di stracci che diventano veli  palloni  guantoni  pance  bambole/marionette che giocano con gli attori.,Uno  spazio scenico simile ad un ring ricoperto di stracci che diventano veli  palloni  guantoni  pance  bambole/marionette che giocano con gli attori e si fanno carico di sentimenti forti come la tenerezza  il ricordo  l&#8217 elaborazione della perdita. Occorrono 30 metri di stoffa per confezionare una sola delle marionette fatte di stracci che nascono dalle mani degli attori sotto la vista degli spettatori. Ci vuole un&#8217 ora per tentare di raccontare i sentimenti di due ragazzi che si incontrano  si conoscono  si scoprono e crescono insieme. Tutto lo spettacolo &#232  avvolto da arie del melodramma  a sorreggere le atmosfere  le emozioni e persino i giochi   con la misteriosa magia con cui una voce lirica riesce sempre a coinvolgere chi l&#8217 ascolta.,Lecce,075035,LE,21-NOV-15,21-NOV-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9754
GARGANO PORTA DI PACE  DANZEMIGRANTINFESTIVAL,semplice,3496953448,labellacumpagniefolk@libero.it,,,,gratis,06-NOV-15,Gargano Porta di Pace  nato per proporre una serie di concerti e convegni di rilievo nazionale e internazionale  inseriti in un contesto importante dal punto di vista dei contenuti e della sua promozione.&#13 &#10 Un festival come porta aperta al confronto con altre realt&#224   come contributo per la crescita della cultura musicale della nostra area e come veicolo di promozione culturale e turistica della stessa  e quindi di Manfredonia  della Provincia di Foggia e della Regione Puglia.&#13 &#10 ,Gargano Porta di Pace  veicolo per i &#8220 suoni del mondo e dei popoli&#8221   la contaminazione  il confronto fra tradizione e innovazione  il confine fra world music  jazz  rock folk e musica colta. Un Festival delle Culture Musicali e delle Culture. Dell&#8217 intercultura come valore.&#13 &#10 Un festival che abbia una sua riconoscibile identit&#224 . La ricerca di un confronto musicale  e non solo  con le culture e le tradizioni &#8220 altre&#8221  che si stanno insediando anche nella nostra zona  attraverso l&#8217 immigrazione. La ricerca di occasioni di riflessione e di conoscenza  di laboratorio e di orientamento didattico. L&#8217 identificazione del progetto con la &#8220 Cultura della Pace&#8221   attraverso scelte e iniziative orientate verso questo tema  oltre che verso la tolleranza e l&#8217 integrazione.&#13 &#10 In questo senso il Mediterraneo &#232  il nostro punto di partenza e di arrivo. E&#8217  una cultura  uno stato d&#8217 animo  una concezione del tempo e una relazione solidale tra i popoli. Un punto d&#8217 incontro fra Oriente e Occidente  anche oltre i suoi confini  oltre le coste che esso geograficamente bagna. ,Manfredonia,071029,FG,21-NOV-15,21-NOV-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9975#http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9990
Willliam Greco in concerto al Teatro Comunale di Novoli,semplice,340 3129308,workinmusic@gmail.com,,http://www.workinproduzioni.it/component/content/article/52-produzioni-discografiche/301-william-greco-qcoraleq.html,,pagamento,17-NOV-15,Presentazione del cd &#34 Corale&#34  (Workin' Label / Ird),Concerto di presentazione ufficiale del disco d&#8217 esordio di William Greco  considerato dal pubblico e dalla critica uno dei giovani pianisti pi&#249  interessanti della sua generazione  grazie all&#8217 eccezionale versatilit&#224  del suo pianismo. &#13 &#10 Nella realizzazione di questo primo lavoro discografico ha cercato di modellare un percorso frutto della sintesi naturale di tutte le sue esperienze musicali  dalla musica classica al jazz. Ci&#242  che pervade tutta l&#8217 opera &#232  la Melodia non in un senso moderno e consumistico  ma nel pi&#249  alto significato del termine. Da interprete classico  oltre che jazzista  il pianista salentino concepisce tutta la musica fortemente legata al canto: di conseguenza il fraseggio  la gestione delle linee melodiche  diventano dominanti anche nei passaggi pi&#249  ostici e virtuosistici. L&#8217 improvvisazione &#232  concepita priva di meccanismi e automatismi tecnici fini a se stessi. A questa concezione musicale &#232  affine il titolo del disco: &#8220 Corale&#8221   che &#232  anche il titolo di una delle composizioni originali. La sezione ritmica &#232  affidata al contrabbassista Marco Bardoscia  abituale &#34 compagno&#34  di lavoro con il quale Greco condivide lo stesso concetto di Musica e Arte e a Massimo Manzi  straordinario batterista che tratta i suoi strumenti come fossero un'intera orchestra  attraverso una miriade di colori  sfumature  silenzi. In questa speciale occasione saranno presenti sul palco il sassofonista Raffaele Casarano e la cantante Carla Casarano.,Novoli,075055,LE,22-NOV-15,22-NOV-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10066#http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9970
Seduzioni spagnole nell&#8217 arte e nella musica - ARTE E MUSICA  XIV edizione III appuntamento,semplice,0805412420,pincorradogiaquinto@tiscali.it,http://www.pinacotecabari.it,,,gratis,04-NOV-15,Dinamiche e tematiche affini nell&#8217 arte e nella musica.,Arriva il terzo appuntamento della manifestazione Arte e Musica  giunta quest&#8217 anno alla XIV edizione: frequentatissimi matin&#233 es in cui a conversazioni d&#8217 arte su argomenti specifici si intreccia l&#8217 esecuzione di brani musicali legati da affinit&#224  tematiche  in omaggio alla formula sperimentata con successo negli anni precedenti. &#13 &#10 &#13 &#10 Il terzo e ultimo incontro di quest&#8217 anno &#232  dedicato all&#8217 influenza della cultura spagnola nell&#8217 arte e nella musica tra Otto e Novecento. &#13 &#10 La conversazione storico-artistica  dal titolo La pittura &#8220 spagnola&#8221  di Edouard Manet  tenuta da Giacomo Lanzilotta  Ispettore della stessa Pinacoteca  e arricchita da numerose immagini  permetter&#224  di conoscere un aspetto poco conosciuto del grande pittore francese  la sua passione per la Spagna  con la sua cultura e i suoi artisti: viene indagato insomma il Manet &#8220 spagnolo&#8221  prima della svolta impressionista  e le opere di quel periodo  in un percorso artistico meno noto e ricco di sorprese.&#13 &#10 &#13 &#10 Il successivo momento musicale vedr&#224  l&#8217 esecuzione di una gitaneria spagnola  El amor brujo (L&#8217 amore stregone)  del compositore Manuel de Falla  libretto di Gregorio Mart&#236 nez Serra e Maria Lej&#224 rraga. L&#8217 opera  in due atti  nella versione originale per mezzosoprano e orchestra da camera  sar&#224  eseg,Bari,072006,BA,22-NOV-15,22-NOV-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9955
Le mani in pasta,semplice,,,,https://www.facebook.com/events/895508260539250/,,,17-NOV-15,Come vuole la tradizione  nel giorno di Santa Cecilia  Taranto si prepara ad accogliere la magica atmosfera del Natale. Insieme al profumo delle ,Come vuole la tradizione  nel giorno di Santa Cecilia  Taranto si prepara ad accogliere la magica atmosfera del Natale. Insieme al profumo delle pettole che si potr&#224  degustare in piazza  la musica  l'arte e l'enogastronomica de &#34 Le mani in pasta&#34  animeranno la citt&#224  vecchia. Una buona occasione per vivacizzare il cuore pulsante della citt&#224  e condividere la tradizione.&#13 &#10 &#13 &#10 &#13 &#10 &#13 &#10 &#13 &#10 &#13 &#10 ,Taranto,073027,TA,22-NOV-15,22-NOV-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10089
Festa patronale di San Flaviano 2015,semplice,0804951223,comitatomadonnafonte@gmail.com,http://comitatofestapatronaleconversano.blogspot.com,http://cattedraleconversano.blogspot.it/,https://www.facebook.com/Comitato-Festa-Patronale-Maria-SS-della-Fonte-pagina-ufficiale-288261387922282/?ref=hl,gratis,17-NOV-15,Conversano in festa per il suo santo Patrono&#13 &#10 San Flaviano Patriarca di Costantinopoli,Il Comitato feste &#8220 Maria SS. della Fonte e San Flaviano&#8221   in preparazione ai festeggiamenti in onore di San Flaviano Patrono della citt&#224  di Conversano  organizza una serie di eventi dal 21 al 24 Novembre 2015  con il patrocinio della Diocesi Conversano-Monopoli e della Civica Amministrazione.&#13 &#10 Flaviano che fu Patriarca di Costantinopoli nel 446 e martire per aver difeso nel secondo Concilio di Efeso la verit&#224  sulla duplice natura di Ges&#249  Cristo  &#232  venerato a Conversano per la reliquia custodita in una teca di argento presso la Cattedrale. La reliquia del braccio del Santo fu donata dal Conte Giulio Antonio Acquaviva a suo fratello Sulpicio  Vescovo di Conversano dal 1482 al 1494.&#13 &#10 La festa quest&#8217 anno viene posta all&#8217 attenzione della cittadinanza e dei fedeli con maggiore enfasi e viene preparata con tante novit&#224  tra cui un&#8217 interessante visita guidata esperienziale sui sentieri dei pellegrini chiamata &#8220 da Flaviano a Caterina&#8221  in programma domenica 22 novembre alle ore 10.00  con partenza dalla Basilica Cattedrale ed arrivo alla Cappella rurale di Santa Caterina.&#13 &#10 Luned&#236  23 novembre alle ore 10.00 in Cattedrale si svolger&#224  un incontro con le scuole elementari e medie di Conversano per far conoscere il santo Patrono dalla giovani generazioni. L&#8217 incontro sar&#224  tenuto dallo storico locale Antonio Fanizzi.&#13 &#10 Le giornate del 21  22 e 23 saranno caratterizzate da stand di hobbisti  mercatini artigianali e prodotti tipici allestiti in Piazza Castello e Centro Storico.,Conversano,072019,BA,22-NOV-15,24-NOV-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10042
&#34 L'et&#224  della carta&#34  personale di Maurizio Muscettola &#38  &#34 Serata in Rosso&#34  conferenza sul colore di Maurizio Muscettola,semplice,3288083040,artefuori@gmail.com,http://www.artefuori.blogspot.it,http://www.culturedelmediterraneo.it/cdm/l-associazione,,gratis,16-NOV-15,Conferenza &#8220 Serata in Rosso&#8221   e inaugurazione della mostra personale dell&#8217 artista Maurizio Muscettola.&#13 &#10 &#13 &#10 ,Illusorio  affettivo  mnemonico  Maurizio Muscettola racconta  nell&#8217 era digitale  l&#8217 et&#224  della carta.&#13 &#10 Allusivo e ludico  declina nelle opere esposte le non regole della sua poetica e conferma  nelle immagini scelte  emozioni e pensieri annunciati.&#13 &#10 Ritratto  paesaggio  natura morta: il soggetto &#232  un pretesto  artisticamente e sempre virtuosamente trattato  ma il tema &#232  il dialogo  suggerito e sollecitato da un appunto  da un origami  da una distrazione apparente nel contesto del quadro.&#13 &#10 Nelle sue non regole &#232  la poetica della diversit&#224  e dell&#8217 incontro. Nei suoi dipinti &#232  la testimonianza di un viaggio tra molte materie  che accoglie molte realt&#224 . Visioni oniriche  rappresentazioni ironiche  mondi inanimati  giochi di luci e ombre: sono tutte storie possibili di un amore universale  cercato nello sguardo di uno sconosciuto o in un territorio lunare.&#13 &#10 L&#8217 opera suggerisce un transfert salutare e nella carta &#8211  l&#8217 inserto capriccioso &#8211  si pu&#242  dissolvere l&#8217 inquietudine propria del presente virtuale.&#13 &#10 Maria Italia Zacheo&#13 &#10 Responsabile del Museo e Archivio della Scuola Romana  Villa Torlonia.&#13 &#10 ,Giovinazzo,072022,BA,22-NOV-15,22-NOV-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10057#http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10058
Sagra del Fungo Cardoncello 2015 - Poggiorsini,semplice,,info@prolocopoggiorsini.it,,,,,15-OTT-15,Con l'arrivo dell'autunno ritorna la sagra itinerante dedicata al Fungo Cardoncello. Come nelle precedenti edizioni la sagra far&#224  tappa anche a ,Con l'arrivo dell'autunno ritorna la sagra itinerante dedicata al Fungo Cardoncello. Come nelle precedenti edizioni la sagra far&#224  tappa anche a Poggiorsini che  per l'occasione  si veste a festa per accoglieri grandi  piccini  curiosi e appassionati delle tradizioni  dell'enogastronomia locale  dell'arte e della natura.,Poggiorsini,072034,BA,22-NOV-15,22-NOV-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9617
Nitro live al Womb di Cavallino ,semplice,3332519619,ufficiostampa@bazingaticket.com,http://www.bazingaticket.com/nitro-live-al-womb-di-cavallino-le-domenica-22-novembre/,,,pagamento,10-NOV-15,Domenica 22 Novembre prende il via al Womb di Cavallino (LE) Skull &#8211  Urban Sunday  la nuova stagione dei party studenteschi del club salentino. Per il primo appuntamento  il Womb ospiter&#224  un artista d'eccezione  Nitro  in Salento con il suo Suicidol Tour.,Domenica 22 Novembre prende il via al Womb di Cavallino (LE) Skull &#8211  Urban Sunday  la nuova stagione dei party studenteschi del club salentino.&#13 &#10 Skull &#8211  Urban Sunday nasce con l'obiettivo di innovare e rivoluzionare il vecchio concept delle feste per studenti  aprendosi a nuove realt&#224  artistiche e trasformando la solita serata &#8220 disco&#8221  in una esperienza ogni volta diversa  originale ed innovativa  un'occasione unica per divertirsi e conoscere gente sempre nuova.&#13 &#10 Per il primo appuntamento  il Womb ospiter&#224  un artista d'eccezione  Nitro  in Salento con il suo Suicidol Tour.&#13 &#10 Il rapper della Machete Crew  sempre accompagnato da Dj Ms  presenter&#224  dal vivo tutti i brani dell'omonimo disco  i cui primi tre singoli hanno superato da qualche settimana tre milioni di visualizzazioni complessive sui canali ufficiali. &#13 &#10 &#13 &#10 &#8220 Suicidol&#8221  &#232  il secondo album di Nitro. Il titolo dell&#8217 album nasce dalla fusione delle parole &#8220 suicidal&#8221  e &#8220 idol&#8221   e sintetizza bene sia i temi delle rime pi&#249  liberatorie del rapper  sia l&#8217 estetica e l&#8217 immaginario a cui si rif&#224 . Il disco &#232  un concentrato di sfoghi  provocazioni  affronti e ironia: tutti tratti tipicamente hip hop messi in musica da un giovane artista con una concezione contemporanea e aperta del rap. Tra i featuring di &#8220 Suicidol&#8221  spicca quello di Fabri Fibra - a culmine di un rapporto di stima reciproca iniziato ormai da un paio di anni - e quello di Skits Vicious degli olandesi Dope DOD  altri artisti con cui Nitro ha sviluppato un rapporto speciale.&#13 &#10 ,Cavallino,075020,LE,22-NOV-15,22-NOV-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10026 (Nitro @ Womb) 
CONCERTO LIRICO,semplice,347.9194819,info@associazioneaulos.com,http://www.associazioneaulos.com,https://www.facebook.com/groups/271265819736018/,,gratis,05-OTT-15,Chiudono la &#34 Rassegna di Concerti 2015&#34  gli artisti R. Palumbo (soprano)  E. Leggiadri Gallani (basso-buffo) e G. Orlando (pianoforte).&#13 &#10 ,Ultimo appuntamento della &#34 Rassegna di Concerti 2015&#34  con un grandioso Concerto Lirico tenuto da Raffaella Rita Palumbo (soprano)  Eugenio Leggiadri Gallani (basso-buffo) e Gabriella Orlando (pianoforte). Artisti di fama internazionale che con la loro arte contribuiranno a festeggiare degnamente S. Cecilia  la patrona della musica.&#13 &#10 &#13 &#10 Programma:&#13 &#10 &#13 &#10 Gaetano Donizetti (1797-1848)&#13 &#10 UDITE O RUSTICI da &#8220 L&#8217 Elisir d&#8217 Amore&#8221  &#13 &#10 &#13 &#10 Giacomo Puccini (1858-1924)&#13 &#10 QUANDO MEN VO da &#8220 Boheme&#8221 &#13 &#10 &#13 &#10 Gaetano Donizetti (1797-1848)&#13 &#10 COME SEN VA CONTENTO... QUANTO AMORE da &#8220 L&#8217 Elisir d&#8217 Amore&#8221 &#13 &#10 &#13 &#10 Gioacchino Rossini (1792-1868)&#13 &#10 LA CALUNNIA da &#8220 Il Barbiere di Siviglia&#8221 &#13 &#10 &#13 &#10 Giacomo Mayerbeer (1791-1864) &#13 &#10 ROBERT  TOI QUE J'AIME da &#8220 Robert le Diable&#8221 &#13 &#10 &#13 &#10 Giuseppe Verdi (1813-1901)&#13 &#10 MADAMIGELLA VALERY&#8230  da &#8220 La Traviata&#8221 &#13 &#10  &#13 &#10 Francesco Paolo Tosti (1846-1916)&#13 &#10 TRISTEZZA&#13 &#10 NON T&#8217 AMO PI&#217 &#13 &#10 &#13 &#10 Ernesto De Curtis (1875-1937)&#13 &#10 NON TI SCORDAR DI ME&#13 &#10 &#13 &#10 Libero Bovio (1883-1942)&#13 &#10 PASSIONE&#13 &#10 &#13 &#10 Salvatore Cardillo (1874-1947) &#13 &#10 CORE &#8216 NGRATO&#13 &#10 &#13 &#10 Ralph Benatzky (1884-1957)&#13 &#10 AL CAVALLINO&#13 &#10 &#13 &#10 Franz Lehar (1870-1948)&#13 &#10 TACE IL LABBRO da &#8220 La vedova allegra&#8221 ,Noci,072031,BA,22-NOV-15,22-NOV-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9343
OPERA A STRACCI    Koreja,semplice,0832 242000,info@teatrokoreja.it,http://www.teatrokoreja.it/koreja/home.php,https://www.facebook.com/cantieriteatralikoreja?fref=ts,,pagamento,14-OTT-15,Nello spazio scenico simile ad un ring  tre attori e tre marionette  elaborazione dell&#8217 antica tradizione del Bunraku giapponese. Musica e voci ,Nello spazio scenico simile ad un ring  tre attori e tre marionette  elaborazione dell&#8217 antica tradizione del Bunraku giapponese. Musica e voci d&#8217 opera per raccontare il mistero dei legami e degli affetti. 30 metri di stoffa per confezionare una sola delle marionette fatte di stracci che nascono sotto lo sguardo degli spettatori. Quando diventa difficile trovare parole all&#8217 altezza dei sentimenti...&#13 &#10 ET&#192  CONSIGLIATA&#13 &#10 dai 7 anni&#13 &#10 TECNICA UTILIZZATA&#13 &#10 Teatro d&#8217 attore&#13 &#10 ,Lecce,075035,LE,22-NOV-15,22-NOV-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9566
QUALCUNO VOL&#210  SUL NIDO DEL CUCULO,semplice,328.6917948,promozione@teatropubblicopugliese.it,http://www.teatropubblicopugliese.it/stagione_rassegna/stagione-di-prosa-15-16-comune-di-bari_191.html ,,,pagamento,29-OTT-15,Romanzo che Ken Kesey pubblic&#242  nel '62 dopo aver lavorato come volontario in un ospedale psichiatrico. Racconta attraverso lo sguardo di Randle ,Romanzo che Ken Kesey pubblic&#242  nel '62 dopo aver lavorato come volontario in un ospedale psichiatrico. Racconta attraverso lo sguardo di Randle McMurphy  uno sfacciato delinquente che si finge matto per sfuggire alla galera  la vita dei pazienti e il trattamento coercitivo che viene loro riservato. Nello spettacolo di Gassmann  lo scrittore Maurizio de Giovanni ha curato l&#8217 adattamento del testo  e la vicenda &#232  ambientata in una clinica psichiatrica italiana nel 1982. Tutto ha inizio con l'arrivo di un nuovo paziente che deve essere &#34 studiato&#34  per determinare se la sua malattia mentale sia reale o simulata. La sua spavalderia  la sua irriverenza e il suo spirito di ribellione verso le regole che disciplinano rigidamente la vita dei degenti  porter&#224  scompiglio e disordine ma allo stesso tempo la sua travolgente carica di umanit&#224  contager&#224  gli altri pazienti e cercher&#224  di risvegliare in loro il diritto di esprimere liberamente le loro emozioni e i loro desideri. La malattia  la diversit&#224   la coercizione  la privazione della libert&#224  sono temi centrali della messa in scena. &#13 &#10 &#13 &#10 Fondazione Teatro di Napoli&#13 &#10 Di D. Wasserman&#13 &#10 Dal romanzo di K. Kesey&#13 &#10 Traduzione Giovanni Lombardo Radice&#13 &#10 Adattamento Maurizio de Giovanni&#13 &#10 Con Daniele Russo  Elisabetta Valgoi &#13 &#10 E con Mauro Marino  Marco Cavicchioli  Giacomo Rosselli  Alfredo Angelici  Giulio Federico Janni  Daniele Marino  Antimo Casertano  Gilberto Gliozzi  Gabriele Granito  Giulia Merelli&#13 &#10 Uno spettacolo di ALESSANDRO GASSMANN,Bari,072006,BA,22-NOV-15,23-NOV-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9371 (ph Francesco Squeglia) 
CI VEDIAMO POCO FA,semplice,0803101222,info@teatromercadantealtamura.it,http://teatromercadantealtamura.it/2014/,,,pagamento,30-OTT-15,CI VEDIAMO POCO FA. Un recitar cantando giocando di continuo con il pubblico: si pu&#242  de&#30 finire cos&#236  il nuovo spettacolo che Peppe&#13 &#10 Barra porta in ,CI VEDIAMO POCO FA. Un recitar cantando giocando di continuo con il pubblico: si pu&#242  de&#30 finire cos&#236  il nuovo spettacolo che Peppe&#13 &#10 Barra porta in scena. La voce straordinaria e il talento unico di Peppe Barra attraggono lo spettatore nel suo mondo artistico fatto di follia  poesia  malinconia  ironia graffi&#31 ante  estro e divertimento  per farci scoprire le canzoni degli autori che pi&#249  ha amato.&#13 &#10 Da Giorgio Gaber a Bruno Lauzi  da Raff&#29 aele Viviani a Bertold Brecht e Kurt Weill. Un repertorio di canzoni che si intreccia con quello comico e grottesco dei monologhi e delle parodie fi&#30 no all&#8217 esplosione della febbre primitiva e dionisiaca di un fi&#30 nale dove la sua voce irrompe prepotente dai meandri di una napoletanit&#224  ancestrale e soff&#29 erta. Peppe Barra segue il suo aff&#29 ascinante percorso in grado di accordare sulla medesima tastiera vocale  ritmo e giocosit&#224 . E come sempre contamina felicemente suoni e stili con l&#8217 energia travolgente che lo caratterizza affi&#31 dandosi alla raffi&#31 nata scrittura musicale e poetica di vari autori e alla sapienza dei musicisti che lo accompagnano. In &#8220 Ci vediamo poco fa&#8221  Peppe Barra concentra l&#8217 essenza delle sue qualit&#224  di cantante e attore. E&#8217  qui che le sue doti di animale da palcoscenico raggiungono un&#8217 ineguagliabile forza di attrazione. Ogni sua apparizione annienta lo spettatore  lo lascia attonito e stupito e anche questa volta lascer&#224  il segno. Peppe Barra voce  Paolo Del Vecchio chitarra  mandolino Ivan Lacagnina percussioni  Sas&#224  Pelosi basso acustico  Luca Urciuolo pianoforte  fisarmonica  Giorgio Mellone violoncello  Alessandro De Carolis flauti.,Altamura,072004,BA,24-NOV-15,24-NOV-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9846
QUALCUNO VOL&#210  SUL NIDO DEL CUCULO,semplice,099 4725780 - 366.3473430,,http://www.teatropubblicopugliese.it,,,pagamento,08-OTT-15,Fondazione Teatro di Napoli&#13 &#10 di Dale Wasserman  dall'omonimo romanzo di Ken Kesey  adattamento Maurizio de Giovanni&#13 &#10 con Daniele Russo  Elisabetta ,Fondazione Teatro di Napoli&#13 &#10 di Dale Wasserman  dall'omonimo romanzo di Ken Kesey  adattamento Maurizio de Giovanni&#13 &#10 con Daniele Russo  Elisabetta Valgoi  e con Mauro Marino  Marco Cavicchioli  Giacomo Rosselli  Alfredo Angelici  Giulio Federico Janni  Daniele Marino  Antimo Casertano  Gilberto Gliozzi  Gabriele Granito  Giulia Merelli&#13 &#10 uno spettacolo di ALESSANDRO GASSMANN&#13 &#10 &#13 &#10 Qualcuno vol&#242  sul nido del cuculo &#232  il romanzo che Ken Kesey pubblic&#242  nel 1962 dopo aver lavorato come volontario in un ospedale psichiatrico californiano. Racconta attraverso lo sguardo di Randle McMurphy  uno sfacciato delinquente che si finge matto per sfuggire alla galera  la vita dei pazienti di manicomio statunitense e il trattamento coercitivo che viene loro riservato. Nel 1971 Dale Wasserman ne realizz&#242   per Broadway  un adattamento scenico  che costitu&#236  la base della sceneggiatura dell'omonimo film di Milo&#353  Forman  interpretato da Jack Nicholson e entrato di diritto nella storia del cinema. Nello spettacolo di Gassmann  lo scrittore Maurizio de Giovanni ha curato l&#8217 adattamento del testo  e la vicenda &#232  ambientata in una clinica psichiatrica italiana nel 1982. Tutto ha inizio con l'arrivo di un nuovo paziente che deve essere &#34 studiato&#34  per determinare se la sua malattia mentale sia reale o simulata. La sua spavalderia  la sua irriverenza e il suo spirito di ribellione verso le regole che disciplinano rigidamente la vita dei degenti  porter&#224  scompiglio e disordine ma allo stesso tempo la sua travolgente carica di umanit&#224  contager&#224  gli altri pazienti e cercher&#224  di risvegliare in loro il diritto di esprimere liberamente le loro emozioni e i loro desideri. La malattia  la diversit&#224   la coercizione  la privazione della libert&#224  sono temi centrali della messa in scena.&#13 &#10 &#13 &#10 Nota bene: Gassmann ne fa una messinscena personalissima ma  al tempo stesso  fedele alle intenzioni dell'originale. Ne fa del testo una lezione d&#8217 impegno civile  uno spietato atto di accusa contro i metodi di costrizione e imposizione adottati all&#8217 interno dei manicomi ma anche  e soprattutto  una straordinaria metafora sul rapporto tra individuo e Potere costituito  sui meccanismi repressivi della societ&#224   sul condizionamento dell'uomo da parte di altri uomini.,Taranto,073027,TA,25-NOV-15,26-NOV-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9437
Ricordando Ugo Riccarelli - dall'uomo allo scrittore,semplice,,,,,,,10-NOV-15,Una chiacchierata con Roberta Bortone  presidente dell'Associazione Ugo Riccarelli e un successivo laboratorio di scrittura (la cui data non &#232  ancora,Una chiacchierata con Roberta Bortone  presidente dell'Associazione Ugo Riccarelli e un successivo laboratorio di scrittura (la cui data non &#232  ancora stata fissata) saranno i due appuntamenti organizzati per onorare l'autore Ugo Riccarelli e le sue pi&#249  belle opere.&#13 &#10 ,Acquaviva delle Fonti,072001,BA,26-NOV-15,26-NOV-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10033
IL REGNO DELLE DONNE,semplice,0831581949,assrota@libero.it,http://www.associazioneninorota.it,,,pagamento,05-OTT-15,Concerto per due pianoforti&#13 &#10 Concerto per due pianoforti&#13 &#10 Paola BIONDI e Debora BRUNIALTI (pianiste)&#13 &#10 Sara BEVILACQUA (voce recitante)&#13 &#10 &#13 &#10 ,GEORGE GERSHWIN&#13 &#10 (Brooklyn  N.Y.  26 set. 1898 - Los Angeles  11 lug. 1937)&#13 &#10 Rhapsody in blue&#13 &#10 &#13 &#10 WOLFGANG AMADEUS MOZART - EDVARD GRIEG&#13 &#10 (Salisburgo  27 gen. 1756 - Vienna  5 dic. 1791) - (Bergen  15 giu.1843 - Bergen  4 set. 1907)&#13 &#10 Sonata in do maggiore  K 545&#13 &#10 Allegro  Andante  Rondo.&#13 &#10 &#13 &#10 GEORGE BIZET&#13 &#10 (Parigi  25 ott.1838 - Bougival  3 giu. 1875)&#13 &#10 Carmen suite&#13 &#10 Les tor&#233 adores  Pr&#233 lude  Habanera  S&#232 guedille&#13 &#10 Intermezzo  Aragonaise  Les dragons d&#8216 Alcala  Danse boh&#232 me&#13 &#10 &#13 &#10 WITOLD LUTOS&#321 AWSKI&#13 &#10 (Varsavia. 25 gen.1913 - Varsavia  7 feb. 1994)&#13 &#10 Paganini Variations&#13 &#10 Il programma sar&#224  arricchito dalla declamazione di poesie di&#13 &#10 ALDA MERINI&#13 &#10 &#13 &#10 ,Brindisi,074001,BR,26-NOV-15,26-NOV-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9300#http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9298#http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9299
Me &#38  Friends,semplice,0833 836240 &#8211  0833 571871,terrammareteatro@tiscali.it,http://www.terrammareteatro.it,,,,20-OTT-15,Me &#38  Friends  concerto di presentazione di Me  progetto discografico contenente dieci tracce che abbracciano diversi generi musicali  dal rock al ,Me &#38  Friends  concerto di presentazione di Me  progetto discografico contenente dieci tracce che abbracciano diversi generi musicali  dal rock al fusion  dal funky al blues  fino al jazz.&#13 &#10 ,Nardo',075052,LE,26-NOV-15,26-NOV-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9665
